songName,artists,lyricists,musicComposers,genres,lyrics,metaphors
Ae Neela Nethu – ඈ නීල නෙතු සලා,T.M.Jayarathna,Malani Jayarathna,Rohana Weerasingha,Old Pops,"ඈ නීල නෙතු සලා මා දෑස මත් කළා
සේයා මවා ඒ ආදරේ  ආයාචනා…..ආ
ඈ නීල නෙතු සලා
පාවී ගියා   ඒ වේදනා    දෑසේ මවා මේ චේතනා
ආරාධනා
පාවී ගියා   ඒ වේදනා දෑසේ මවා මේ චේතනා
ආරාධනා
පාවී ගලා  පවනේ පවා   රාවේ ඇසේ ඒ ගීතිකා
ආරාධනා
පාවී ගලා පවනේ පවා  රාවේ ඇසේ ඒ ගීතිකා
ආරාධනා","[{'metaphor': 'ඈ නීල නෙතු සලා මා දෑස මත් කළා', 'interpretation': 'ඇගේ නිල් දෑස් දැක මම වසඟ උනා'}]"
Degoda Thala – දෙගොඩ තලා,T.M.Jayarathna,Ajantha Ranasinghe,Clarence Wijewardena,Old Pops,"දෙගොඩ තලා ගඟ ගලා
මෙගොඩ ගොඩේ ඈ හිඳී
තොටුපලේ ගං ඉවුරේ
මා තනිවම මද අඳුරේ//
මේ ගඟ ගලා ගියේ
අපි පුංචි ළමුන් දවසේ
ඇගෙ දෙපා පවා ආදරෙන් දොවා
ආදර ඒ ගඟ නෑ අද නෑ
මේ ඔරු කඳේ නැගී
බොර පාට දියේ තනිවී
මා මෙහා ඉමේ ඈ එහා ඉමේ
බාධක මේ ගඟ තාම ගලයි","[{'metaphor': 'මා මෙහා ඉමේ ඈ එහා ඉමේ', 'interpretation': 'අපේ ආදරයට බාධා ඇත'}]"
Amma Sandaki – අම්මා සඳකි,T.M.Jayarathna,Malani Jayarathna,Rohana Weerasingha,Classics,"අම්මා සඳකි මම ඒ ලොව හිරුය රිදී
ඒ ඉර හඳෙන් නුඹෙ ලෝකය එලිය වුනී
රැකුමට පුතුන් දිවියේ දුක් ගැහැට විඳී
පිය සෙනෙහසට කව් ගී ලියැවුනා මදී
සිරුරේ දුවන්නේ මගෙ ලේ නොවැ පුතුනේ
කුසයේ නොදැරුවත් දිවි බර මට දැනුනේ
මහමෙරකට උසයි දරු පෙම හද පතුලේ
පුදුමයි පුතුනි කිම මගෙ ලේ කිරි නොවුනේ
මවකට මුවාවී නුඹ වෙත දිරි දුන්නේ
මම වෙමි පුතුනි එය මා පමණයි දන්නේ
පිය සෙනෙහස නැතිද දරුවනි හඳුනන්නේ
අම්මාවරුන් පමණද මතු බුදු වන්නේ","[{'metaphor': 'අම්මා සඳකි', 'interpretation': 'අම්මා ඔබේ ජීවිතයට ඉතා වැදගත් වේ'}, {'metaphor': 'මම ඒ ලොව හිරුය', 'interpretation': 'මම (පියා) ද ඔබේ ජීවිතයට ඉතා වැදගත් වේ'}, {'metaphor': 'මහමෙරකට උසයි දරු පෙම හද පතුලේ', 'interpretation': 'දරුවන් කෙරෙහි සිතේ ඉතා විශාල ආදරයක් ඇත'}]"
Hadissiye – හදිස්සියේ,T.M.Jayarathna,Camilas Perera,Clarence Wijewardena,Old Pops,"හදිස්සියේ හනි හනිකට පය තබනා
රුවැත්තියේ නුඹ සිටිනා ගම කොතැනා...//
දෑත සලා කිංකිණි හඬ දෙවන්නී
දෑස සලා මොනමොනවද කියන්නී
යටින් හොරෙන් එබිකම්කර බලන්නී
ළඳේ නුඹයි මගෙ දුක් ගිනි නිවන්නී
රෑන කිතුල් මල පිට මැද හෙලන්නී
සිහින් පබළුවැල් ගෙල වට බඳින්නී
කෝල නැවුම් සිනා දැලක් එළන්නී
ළඳේ නුඹයි මගෙ දුක් ගිනි නිවන්නී","[{'metaphor': 'කෝල නැවුම් සිනා දැලක් එළන්නී', 'interpretation': 'ලස්සනට සිනාසෙන්නී'}]"
Anduru Kutiya Thula – අදුරු කුටිය තුල,T.M.Jayarathna,P.S.Alawaththage,Premasiri Khemadasa,"Classics,Golden Oldies","අදුරු කුටිය තුල දොරගුළු ලාගෙන
ගයන ගීතිකා යදින යාතිකා දෙවියන් හට නෑසේ
ඒ…….දෙවියන් හට නෑසේ
පොලව කොටන තැන පාර තනන තැන
ගිනියම් අව්වේ මහ වරුසාවේ දෙවියෝ වැඩ ඉන්නේ
ඒ…….දෙවියෝ වැඩ ඉන්නේ
බලන් කඩතුරා හැර දෑසේ//
සිනිදු සුවැති සළු සිරසින් හැරදා
දූවිලි මඩ වැකි පිළි ගත පලදා
දෙවියන් රුව දක්නට හැක්කේ
හ හා…ආඅආඅ ආඅආඅ ආඅආඅ  ආ..
කුසුම් සදුන් දුම් සුවදින් වැලකී
ගත නැගි දාඩිය සුවදින් සැරසී
දෙවියන් හා එක්විය හැක්කේ
හ හා…ආඅආඅ ආඅආඅ ආඅආඅ  ආ..","[{'metaphor': 'දොරගුළු ලාගෙන', 'interpretation': 'සැඟවී'}]"
Dayiwaye – දෛවයේ සුළි සුළගේ,T.M.Jayarathna,Hemasiri Halpita,Clarence Wijewardena,Old Pops,"දෛවයේ සුළි සුළගේ වෙලී
ජීවිතේ පැතු පැතුමන් සිඳී
මා කෙරේ බැඳී සෙනෙහෙ බිඳී
ඇය යාවි ඇදී ...  ඇය යාවි ඇදී
පාළුවූ මා සිතින් -  චේතනා ගිලිහෙමින්
නිමවූ අපේ -  ආදරේ වේදනා ගෙනේ
වාලුකා මිරිගුවෙන් - මංමුලාවූ ලෙසින්
තනිවී මෙසේ - මා ලයේ ප්‍රර්ථනා සිඳේ","[{'metaphor': 'දෛවයේ සුළි සුළගේ', 'interpretation': 'පාලනය කළ නොහැකි දෛවය'}]"
Hiruta Horen – හිරුට හොරෙන්,T.M.Jayarathna,Kularathna Ariyawansa,Rohana Weerasingha,Old Pops,"හිරුට හොරෙන් සඳුට හොරෙන්
තරු මල් උයනේ
ලොවට හොරෙන් සැදූ ලොවයි
අපේ ආදරේ...//
ඔබේ නුවන් තරු එලියෙන්
ඒ ලෝකයේ සිරි නරඹන්නම්
තවත් කුමටදෝ එළියක්
මගේ ලෝකයේ
ඔබේ වදන් අමසරයෙන්
ඒ ලෝකයේ නද රැව්දේ නම්
තවත් කුමටදෝ මිහිරක්
අපේ ලෝකයේ","[{'metaphor': 'හිරුට හොරෙන් සඳුට හොරෙන් තරු මල් උයනේ ලොවට හොරෙන් සැදූ ලොවයි අපේ ආදරේ', 'interpretation': 'අපගේ ආදරය අපි හැමදෙනාටම හොරෙන් නිර්මාණය කළ ලොවක් වැනිය'}]"
Jeewithe Amadhara – ජීවිතේ අමධාරා,T.M.Jayarathna,Gamini Wijethunga,Premasiri Khemadasa,Old Pops,"ජීවිතේ අම ධාරා - උල්පතේ රස උතුරා
කෝ සුපෙම් හස කැළුම් රස හැඟුම්
මීවිතේ රස උතුරා
ආදරේ මල් උයනේ - නෑ ඔබේ හඬ ඇසුනේ
පිපි කුසුම් මල් යහන් තුලට වී
කොවුලනේ නාඬන්
ඈත නිල්වන් ගුවනේ - පියාඹන ලිහිණියනේ
මට කියන් තෙපි සොයා යන ලොවේ
සෝ තැවුල් රැඳුනේ
හමන පවනේ සඟවා - මගේ පාළුව රහසේ
ඇත එවා ඔබ සොයා පිය ළඳේ
මීවිතේ රස උතුරා","[{'metaphor': 'ආදරේ මල් උයනේ', 'interpretation': 'ආදරය සුන්දර වේ'}]"
Ko Ma Pathu – කෝ මා පැතූ,T.M.Jayarathna,Ranjith Weerasinghe,Premasiri Khemadasa,"Classics,Golden Pop","කෝ මා පැතූ ඔබෙ ආදරේ
කෝ මා පැතූ ඔබෙ ආදරේ
කෝ මා පැතූ
ආවේ එදා මා තනිවී ලොවේහී
නැතිවී ගියා ඒ හැඟුමන් මෙහී…//
යළි මා අනාතයි උතුරා ගලා යයි සංවේදනා
ඈ හා අතීතේ ගැයු ගීත රාවේ
මුසුවී ඇසේවා සුළඟේ පවා...//
කෙවිලී කැදැල්ලේ කොවුලා ඉගිල්ලේ  දැන් ඈ දමා
පායා පහන් වූ රන් තාරකාවෝ
අඳුරේ දමා මා නොපෙනී ගියා...//
කවදාද ආයේ පායා දිලෙන්නේ  රන් තාරකා","[{'metaphor': 'කෙවිලී කැදැල්ලේ කොවුලා ඉගිල්ලේ', 'interpretation': 'සැමියා බිරිඳ හැරයෑම'}]"
Kunda Saman – කුන්ද සමන්,T.M.Jayarathna,Clarence Wijewardena,Clarence Wijewardena,Old Pops,"කුන්ද සමන් මල් මල් රැන්දු සිනාවා
කන්ද උඩින් පෑයූ චන්ද්‍ර සිනාවා
නෙල්ලි කැලේ හැංගී ඉන්න කුමාරී
පින්න පිපුනු සීතේ එන්න සිනාසී
රංචු බිඟුන් සේනා  කැන්දු සිනාවා
පුංචි සමන් මල් රොන් බිංදු සිනාවා
පිපි මලසේ.හිමිදිරියේ.ඔසරි පොටේ
සුදු නෙරියේ..හිත දැවටේ.සිලි සිලියේ
මට නොදැනී.මට අමතා.පටු නළලේ
කියඹු ලතා.මුදු මුදුසේ.සැලෙන ලතා","[{'metaphor': 'පිපි මලසේ හිමිදිරියේ ඔසරි පොටේ සුදු නෙරියේ', 'interpretation': 'ඔසරි පොටේ සුදු නෙරිය ලස්සනයි'}]"
Lokaye Rudu – ලෝකයේ රුදු නෙත්,T.M.Jayarathna,Kularathna Ariyawansa,H.M.Jayawardhana,Old Pops,"ලෝකයේ රුදු නෙත් වසා
ස්නේහයේ හසරැල් සලා
මා සොයා පැමිණෙන්න සොඳුරිය
රෑ සඳේ කඳුලක් වෙලා…//
මා දෑස අවුරා ඔබ දෑස සඟවා
සහසක් නුවන් දැල්විලා
මා දෑස අවුරා ඔබ දෑස සඟවා
සහසක් නුවන් දැල්විලා
මේ කුරිරු ලෝකෙන් පාවී හමා රෑ
යාවෙන්න පවනක් වෙලා
රෑ සීත අඳුරේ මේ සොඳුරු යාමේ
පාළුව දැනී තනිවෙල
රෑ සීත අඳුරේ මේ සොඳුරු යාමේ
පාළුව දැනී තනිවෙලා
මා තැවෙන යාමේ මේ පාළු කුටියේ
දැවටෙන්න සුවඳක් වෙලා","[{'metaphor': 'සොඳුරිය රෑ සඳේ කඳුලක් වෙලා', 'interpretation': 'කාන්තාව ඔහුට දුක් දෙයි'}]"
Me Ayurin Api – මේ අයුරින් අපි,T.M.Jayarathna,Ajantha Ranasinghe,Premasiri Khemadasa,"Old Pops,Classics","මේ අයුරින් අපි සංසාරේ
ආදරයෙන් හමුවෙන්න ඇතී
මේ අයුරින් අපි දවසක් දා
සසර මගදි වෙන්වෙන්න ඇතී
සාලිය මාලා පෙම්බැඳිදා මං
සිටු කුමරෙකුවී ඉන්න ඇතී
ඒ සිටු කුලයේ කුමරිය වී ඔබ
මේ ලෙස මට රිදවන්න ඇතී
අපරාජිතයැයි ඔබ පිදු ප්‍රේමය
පුදසුන මත පරවෙන්න ඇතී
සාගර ජලයත් මදි හැඬුවා මම
ඔබ හින්දා ඔබ දන්නෙ නැතී
ආත්ම ගනනේ ඔබෙ පය පාමුළ
මගෙ කඳුලින් සේදෙන්න ඇතී
එදත් මගේ දුක් ආයාචනයට
අද මෙන් ඔබ හිනැහෙන්න ඇතී","[{'metaphor': 'සාගර ජලයත් මදි හැඬුවා', 'interpretation': 'බොහෝ සේ හඬා'}]"
Mala Gira Gela – මාල ගිරා ගෙල,T.M.Jayarathna,Ajantha Ranasinghe,Premasiri Khemadasa,"Old Pops,Classics","මාල ගිරා ගෙල මාල පොටක් බැඳි
ගෝමර පෙති මාලේ
පාට සරුංගල් පාට නෙලා…. ගෙන
රුව දිලෙනා ලීලේ
වතුසුදු මල සේමා වත රූසිරු බෝමා
කෝල කොමල වරුනේ සිත බැඳුනා ලඳුනේ
කදිම උවම් යොදලා කව් සීපද ගොතලා
හීතල දුරුතු මහේ  කියමුද අපි ලඳුනේ
කෙකටිය සුදට සුදෝ  හිරිමල් කැකුළු මුවින්
ටිකිරි හිනා බිංදූ  මට දෙනවද ලඳුනේ","[{'metaphor': 'වතුසුදු මල සේමා වත රූසිරු බෝමා', 'interpretation': 'රූපය'}]"
Mulu Lowama – මුලු ලොවම,T.M.Jayarathna,Kularathna Ariyawansa,Rohana Weerasingha,Old Pops,"මුලු ලොවම නැතිවුනත්  එකම හදවතක්
ඇත ඔබේ…. නාමයෙන්  ඇත ඔබේ නාමයෙන්...//
ඔබේ සෙවනෙහි රැඳී ඉන්නට
වරම් නැතිවූ ලෝකයෙන්...//
වෙන්ව සිටිනා හුදකලාවේ……..
එකම එක හදවතක්
ඇත ඔබේ නාමයෙන්
ලොවේ දිනයෙක තනිවුනෝතින්
ඔබේ හද සෝ තාපයෙන්...//
සොයා එන්නට සිටින කැපවී
එකම එක හදවතක්
ඇත ඔබේ නාමයෙන්","[{'metaphor': 'ඔබේ සෙවනෙහි රැඳී ඉන්නට', 'interpretation': 'ඔබ ළඟින් ඉන්නට'}]"
