songName,artists,lyricists,musicComposers,genres,lyrics,metaphors
Ada Amuthuma Reyaki – අද අමුතුම රැයකි,H.R.Jothipala,Karunarathna Abeysekara,Sarath Dasanayaka,New Pop,"අද අමුතුම රැයකි හොඳ සීතල පැයකි
අඳුරු වළා වැලපී මගෙ හිත සතුට දකී..//
ඝන නිල් වරලින්නේ මල් සුවදකි එන්නේ
හද විනිවිද යන්නේ නෙත් සිත පිබිදෙන්නේ
නිලිපුල් වැනි දෑසේ සැතපී ඇති රහසේ
තේරුම තොරාලා දෙනු මැන හිනහීලා
සුරලිත මුතු වරලේ අඩවන් සඳ බැබලේ
නා දළු බදු දෙතොලේ බිහිවෙයි මදු කොතොලේ","[{'metaphor': None, 'interpretation': None}]"
Amara Pem Lathawe – අමර පෙම් ලතාවේ,"Angelin Gunathilaka,H.R.Jothipala",Karunarathna Abeysekara,Sarath Dasanayaka,"Duets,Movie Songs","අමර පෙම් ලතාවේ රන් මලක් උදාවේ..//
අඳුන් සඳුන් සුව මැවේ මනෝ මන්දිරේ..
ඉසුරුමුනි කතාවේ යුවළ දැන් සිනාවේ..//
කසුන් සඳක් ජනිත වේ ජී….වන අඹරේ
ඔබෙ දෙපා ළඟ මගේ තුරුණු හද පිදේ
හිමවතේ සිසිල දී ගිමන සංසිදේ
හා හ හ හා.. හ   හා   ම් ම් ම් ම්… ම් ම්
ආදරේ ආදරේ මී බඳුන් පිරේ//
පිපෙන මල් විල් තලේ දියට බර නැතේ
දෝත දී පිළිගමී ඔබගෙ ජීවිතේ
හා හ හ හා.. හ   හා   ම් ම් ම් ම්… ම් ම්
ආදරේ ආදරේ මී බඳුන් පිරේ//","[{'metaphor': None, 'interpretation': None}]"
Adanne Ai – අඬන්නෙ ඇයි,H.R.Jothipala,Dharmasiri Gamage,M.K.Roksami,"Golden Pop,Classics","අඬන්නෙ ඇයි සුදු මැණිකේ කියන්න පණ මාගේ
හෙළන්නෙ ඇයි කඳුළැලි ආදර නිල්මිණි දෑසේ
අඬන්නෙ ඇයි සුදු මැණිකේ කියන්න පණ මාගේ
ඔයාව ජීවිතයේ මට හමුවුණු මුල් දවසේ
සිනාවේ දෑසේ අහිංසක ආදරයයි තිබුණේ
කියාපු මිහිරි කතා තවමත් ඇහෙනවා වාගේ
ප්‍රියාවි රැකගන්නම් හද බලකොටුවෙහි මාගේ
පරාද වෙන්න ඉඩක් නෑ අපි දෙන්නගේ ප්‍රේමේ
දිනන්නේ යන යන තැන ඔබ හින්දයි මා ලෝකේ
අඬන්නෙ ඇයි සුදු මැණිකේ කියන්න පණ මාගේ
මැණිකේ සුවඳ මලයි පිපි බාධක කටු අකුලේ
සිටින්න දෝතින් ඒ මල නෙලනා තුරු මැණිකේ
දිලෙන්නේ එක තරුවයි සඳ වටකර පෙම් ලෝකේ
සඳ මැණිකෙයි මම තරුවයි පායන නිල් අහසේ","[{'metaphor': None, 'interpretation': None}]"
Adare Hithenawa – ආදරේ හිතෙනවා,"Angelin Gunathilaka,H.R.Jothipala",Nihal Jayasingha,P.L.A.Somapala,"Duets,Movie Songs","ආදරේ හිතෙනවා දැක්කම දෙවඟන වාගේ ලස්සනයි
පොඩ්ඩක් ඉන්න සුදෝ මං එනවා ළඟටම දැන් හොඳයි//
ඔබ සොයා ඉගිළ එයි මා හදේ භෘංගයා
හැංඟුවේ ඇයි ප්‍රියේ මල් විලේ හංසයා//
හැංඟුවේ ඇයි ප්‍රියේ මල් විලේ හංසයා
හැංඟුවේ නෑ කිසිත් ඇත්තමයි මා ඔබේ
මා සෙවූ මා පැතූ ආදරේ දැන් ලැබේ
මා සෙවූ මා පැතූ ආදරේ දැන් ලැබේ","[{'metaphor': None, 'interpretation': None}]"
Ashawe Ashawe – ආශාවේ ආශාවේ,"H.R.Jothipala,Greshan Ananda",Hemasiri Halpita,Sarath De Alwis,"Duets,Old Pops,Movie Songs","ආශාවේ ආශාවේ පායා රෑ සිහින මායාවේ සේයා
දෑසේ සිනා හද සීතල මේ සිත
මී පැණි දේ මට තව ළං වෙලා
මේ යාමේ...හෝ හෝ හෝ
හෝ හෝ හෝ හෝ හෝ හෝ...
ආශාවේ ආශාවේ පායා පා වේවී පා වේවී සේයා
ප්‍රේමේ අමා රස වෑහෙන මීවිත
මා දෙතොලේ ඇත මට ළං වෙලා
මේ යාමේ...හෝ හෝ හෝ
හෝ හෝ හෝ හෝ හෝ හෝ...
මා ඔබ හා අද යාළු වෙලා ඒ සතුටේ සිත මෝදු වෙලා
මා සනසාලා මා සතපාලා වෑහීලා හද ආරාධනා...
සීගිරියේ බිතු රූ විලසේ මා මිතුරේ අපි යාළු වෙලා
ජීවිතයේදී මේ භවයේදී පෑහීලා අපි ප්‍රේමේ රසේ...
සඳ පාන ලෙසට මේ හිරු තාප මිහි තලේ
ඇති දාට හිතට ආදර සරණා   හෝ
හෝ හෝ හෝ  හෝ හෝ හෝ...  හෝ හෝ හෝ...
ජීවිතයේ රස හා බැඳුණේ ආදරයේ මුව ගෑ කොතැනේ
සාගරයේදී යා වෙමු පෑහී  ආසාවේ අපි ආදරයේ
ලෝකය මේ සැදුණේ තැනුනේ ප්‍රේම දයා සෙනෙහේ මතිනේ
යාළුවනේ මේ මා හද යා වූ ආසාවේ මන ආදරයේ
බැඳි දාට පෙම් ලොවේ කුළ බේද ලෝකයේ
සිදු වූවෙ කොහෙද නෑ කිසි සරණා     හෝ
හෝ හෝ හෝ  හෝ හෝ හෝ...  හෝ හෝ හෝ...","[{'metaphor': None, 'interpretation': None}]"
Api Denna Pokunai – අපි දෙන්නා පොකුණයි,H.R.Jothipala,Unknown,M.K.Roksami,Old Pops,"අපි දෙන්නා පොකුණයි පියුමයි විලසින් උන්නේ..
ඔබ පමණයි අප උන් සුවතැන් රසතැන් දන්නේ..
ඔබගේ සිත මා නැත හඳුනන්නේ
වරදක් නැතුවයි පිටුපා යන්නේ..
තේරෙයි තේරෙයි තේරෙයි තේරෙයි තේරෙයි...
සුභ සැන්දෑවක් වේවා
වැලි අහුර කන්දක් කියාලා
දිය බඳුන ඟඟකැයි සිතාලා
මල් අත්තෙ කටුවක් සොයාලා
ලත වෙන්න සිදුවෙයි කිපීලා
සඳ මඬල සා ලපය ඇතිදෝ
මද දිගට සම සමව ඇතිදෝ
මෙය ඔබට තෝරන්න බැරිදෝ
අප දෙන්න මැද ඉන්නෙ කවුදෝ","[{'metaphor': None, 'interpretation': None}]"
Adara Mal Pawane – ආදර මල් පවනේ,H.R.Jothipala,Dharmasiri Gamage,Premasiri Khemadasa,"Old Pops,Movie Songs","ආදර මල් පවනේ ඈ යන මේ ගමනේ
කොහෙදෝ යන්නේ කව්දෝ දන්නේ
දුලීකා…… දුලීකා //
වේදනා කන්දේ ඉඳලා  - ආදරේ දැක අත වනලා
සුළඟේ පාවී සුසුම් හෙළා වී
දුලීකා….. දුලීකා…//
චංචල සිතුවිල්ලේ මංගල ඕවිල්ලේ
නැළ වී යන්නේ ඈ මෙසේ
පෙම් මල් උයනට දෝ  - කඳුලැලි මුහුදට දෝ","[{'metaphor': None, 'interpretation': None}]"
Awa Soya Adare – ආවා සොයා ආදරේ,"Angelin Gunathilaka,H.R.Jothipala",Karunarathna Abeysekara,P.L.A.Somapala,"Duets,Movie Songs","රන් මසුරන් කිරි ගරුඬ තලාවක
හැලෙන හදින් ඔබ අමතන්නේ
පායුග එසවෙනවා මා ඔබ වෙත එනවා
ආවා සොයා - ආවා සොයා
ආවා සොයා ආදරේ
දෙසවන් වැසුවද දෙනුවන් වැසුවද
ඔබෙ හඬ ඔබෙ රුව මට සිහිවේ
හිනැහී ආකාසේ දිනිදා නැගෙනා සේ
ආවා සොයා - ආවා සොයා
ආවා සොයා ආදරේ
ලස්‌සන මල් දහසක්‌ අතරෙන්
ඔබගේ දසුන පෙනෙයි
කුංකුම චන්දන සුවඳ මැදින්
ඔබගේ සුවඳ දැනෙයි
මා ලයේ - කුළුදුලේ
අනන්ත හැඟුම් මැවේ//
කල්ප ගණන් එකතුව උන් සේ
නිරතුරු මට වැටහේ
අල්පයකුදු ඔබ ලඟ නැතිනම්
කල්පය ලෙස තේරෙයි
ජීවිතේ මිහිරි බැව්
හැඟෙන්නෙ ඔබෙන් තමයි//","[{'metaphor': None, 'interpretation': None}]"
Bambara Wage Atha – බඹරා වගේ ඇත,H.R.Jothipala,George L Ranasingh,Sarath Dasanayaka,Movie Songs,"බඹරා වගේ ඇත තවම විසේ
සල්ලි නැතේ මට විස්‌කි නැතේ
යාළුවෙලා සිටි අය නැතේ
වැටී ගියත් අප එකා වගේ
ගල්මුල් ආවත් බය නෑ බය නෑ//
අපට හිතට දුක නෑ
පැතුම් සැබෑ වෙන ජී…විතේ
අළුත් දසුන් නව ලොවින් මැවේ
මා යන ගමනේ බැමි නෑ  බැඳුනේ//
ගිමන් පවස නොදැනේ","[{'metaphor': None, 'interpretation': None}]"
Chandana Allen – චන්දන ඇල්ලෙන්,H.R.Jothipala,Dharmasiri Gamage,Galagedara M.M.A.Huk,"Golden Pop,Movie Songs,Request","චන්දන ඇල්ලෙන් නාලා…  අංජන මල් මී ගාලා
හැංගුණ බඹරා ආවා  ලස්සන රහසක් කීවා//
චන්දන ඇල්ලෙන් නාලා
මලට මුවා වී ඉන්නේ  මල් පෙති යට සැඟවෙන්නේ//
හදකට තුරුළු ව ඉන්නේ  ලෝකය නෑ එය දන්නේ
දහසක් නෙත් යොමු වන්නේ  එනමුදු නෑ හඳුනන්නේ//
ඇසිපිය යට සැඟවෙන්නේ  සිහින ලොවේ හමු වන්නේ
එක කුසුමකි පිබිදෙන්නේ එක වන බඹරෙකි ඉන්නේ
දෙබරුන් සේනා එන්නේ වෙනසක් නෑ සිදුවන්නේ","[{'metaphor': None, 'interpretation': None}]"
