songName,artists,lyricists,musicComposers,genres,lyrics,metaphors
Ran Tikiri Sina – රන් ටිකිරි සිනා,"Neela Wickramasinghe,T.M.Jayarathna",A Vinayagarathnam,Nimal Mendis,"Classics,Duets,Movie Songs","රන් ටිකිරි සිනා මුව මුව පාලා
ලංවී අත් අල්ලාගෙන ඇස් දැල්වූවා//
දෑතේ බැදිලා ඈතට දුවලා
නොපෙනී යනවද සුදු නංගී
ඉනිමං බැදලා ලස්සන හොයලා
ගමනක් යනවද සුදු මල්ලී
බාලේ ගෙවලා ආලේ දුරැලා
නොපෙනී යනවද සුදු නංගී
දගකර සිටලා ගංතෙර හැරදා
ගමනක් යනවද සුදු මල්ලී","[{'metaphor': None, 'interpretation': None}]"
Raththaran Neth – රත්තරන් නෙත්,T.M.Jayarathna,Kularathna Ariyawansa,Rohana Weerasingha,Old Pops,"රත්තරන් නෙත් දෙකෙන් සලා සිහිල් පවන්
ජීවිතේ ලසෝතැවුල් නිවන්න රත්තරන් //
තාරකා සිනා දැලේ රන්කැලුම් දිගේ
ආදරේ ගලා හැලේ සිහිනයක් වගේ
පාලුවේ වෙලී හඬාවැටෙද්දි ජීවිතේ
මා දිහා ලඟාව ඉන්න රත්තරන් මගේ
මාරුතේ හමා වනේ මල් උයන් දිගේ
පාවෙනා වලාකුලේ සිසිලසක් වගේ
වේදනා නිවී ඔබේ සුනීල නෙත් විලේ
ජීවිතේ සිනා නගාවි සෙනෙහසින් හදේ","[{'metaphor': None, 'interpretation': None}]"
Sanasum Susuman – සැනසුම් සුසුමන්,T.M.Jayarathna,Ranjith Weerasinghe,Premasiri Khemadasa,Classics,"සැනසුම් සුසුමන් පාවීලා
සඳ කැන් වතුරින් නෑවීලා//
තරුමල් අතරින් රිංගාලා
කොහි යන්නෙද මා තනිකරලා
සැනසුම් සුසුමන් පාවීලා
සඳ කැන් වතුරින් නෑවීලා
රෑ සඳ පානේ සීතල පවනේ
නාමල් අරණේ ලාදළු සෙවනේ
ආ...ආ...ආ...ආ...ආ...
මා ළය කර ඔබගේ සුව යහනේ
ගෙවූ අතීතය මතකද මිහිරේ
ගෙවූ අතීතය මතකද මිහිරේ
දෑසට පෙනෙනා එකම රුවක් වෙයි
ඒ රුව මා නෙත් අන්ජනයයි
ආ...ආ...ආ...ආ...ආ...
ජීවන ගීයේ තනුව වයන්නෙමි
ඈ එනතුරු මා තනිවීලා
ඈ එනතුරු මා තනිවීලා","[{'metaphor': None, 'interpretation': None}]"
Sanda Wathurak Se – සඳ වතුරක් සේ,T.M.Jayarathna,Rambukkana Siddhartha Thero,M.R.Chulasingha,"Buddhist songs,Request,Inspirational","සඳ වතුරක් සේ මෙත් සොමි ගුණෙනා
දිව මතුරක් සේ තුඩ තුඩ රඳනා
සමිඳුණි ඔබ වේවා පියුම් ගොමු
හද විල් ජලයේ
උදා ළහිරු සේ ලොව සනසවනා
තරු වියනක් සේ සිත පහදවනා//
සමිඳුණි ඔබ වේවා පහන් ටැඹ
මා ළය මඬලේ
මල් සුවඳක් සේ සුළඟට වඩිනා
මව් වදනක් සේ සෙනෙහස ගලනා
සමිඳුණි ඔබ වේවා පිහිට මට
මේ බව කතරේ","[{'metaphor': None, 'interpretation': None}]"
Ruwata Ruwe – රුවට රුවේ,T.M.Jayarathna,Upali Dhanawalawithana,Clarence Wijewardena,Old Pops,"රුවට රුවේ සකුරා ඉවුරේ හිම වැටෙනා
සුදු කන්ද දිගේ
පාසැල් යන සුදු කුමාරියේ //
හිම මිදෙනා නගරේ
රුව පෑව ඒ රූබරී
චෙරි මල් පිපී පවනේ
ඒ ගමන් ලතා බලා ඉන්නවා
රතු මුහුදේ වෙරළේ
යමු ඈත අපි වෙන් නොවී
සිතකින් නොවේ ළඳුනේ
මා මගේ රටේ සදා තනිවුණේ","[{'metaphor': None, 'interpretation': None}]"
Rathriya Uda Una – රාත්‍රිය උදා උනා,T.M.Jayarathna,Kularathna Ariyawansa,Rohana Weerasingha,Old Pops,"රාත්‍රිය උදා උනා
නින්ද ඇයි නොඑන්නේ..//
රාත්‍රිය උදා උනා
ඔබ හමු වූ දා පටන් මා හදවත අවදියෙන්//
රැය පහන් වෙලා යයි නොවී නිදි දැහැන්
ඔබ අවුදින් සිව් දිගින් මා දෙනෙතේ දැවටෙමින් ...//
සිත් තැවුල් මවාලයි පුරා රැය නිතින්","[{'metaphor': None, 'interpretation': None}]"
Sithata Danena – සිතට දැනෙන මේ,T.M.Jayarathna,Ajantha Ranasinghe,Premasiri Khemadasa,Old Pops,"සිතට දැනෙන මේ ලතැවුල්
ඉවසන්නම් ඔබේ නමින්
ජීවිතයේ කෙදිනක හෝ
සැනසෙන්නට පතා ඔබෙන් //
අද ඔබ නැති බිම තනිවී
සිත දවනා අඳුරු හැඟුම්
ඉවසන්නම් කවදා හෝ
ඔබ හමු වේ නම්
අද තනි යහනක වැතිරී
‍රැය නොනිදා නගන සුසුම්
විඳගන්නම් කවදා හෝ
ඔබ ළං වේ නම්","[{'metaphor': None, 'interpretation': None}]"
Seegiri Landune – සීගිරි ලඳුනේ,T.M.Jayarathna,Ajantha Ranasinghe,Premasiri Khemadasa,Old Pops,"සීගිරි ලඳුනේ ඇයි තනිවී
නිහඬව ඉන්නේ ඇයි ගොළුවී
කැටපත් පවුරේ ගීපද ලීවේ
ඔබදෝ ප්‍රේම පුරාණේ
මීවිත දෙතොලේ රැඳවූ සොඳුරු වෙලාවේ
මල්ගොමු සරලා ඔබදෝ මල්දම් ගෙතුවේ
වන මැද අරණේ ආදර සෙවනේ
කිංකිනි හඬ නැංවුව සුර ලඳුන් ලෙසේ
සීතල සුලඟේ මුසුවී සුසුම් පාවෙලා
ඒ රජ දනනේ ජීවන ගීතයක් වුනා
මේ ගිරි මුදුනේ ඔබෙ රුව ලඳුනේ
සිත්තර තෙළිතුඩකින් සිතුවමක් වුනා","[{'metaphor': None, 'interpretation': None}]"
Sithn Ma Nosali – සිතින් මා නොසැලී,T.M.Jayarathna,Premakeerthi De Alwis,Stanley Pieris,Old Pops,"සිතින් මා නොසැලී සිටිද්දී කඳුල නුඹ ‍ඇවිදින්
නිවා දැමුවේ නෙතේ පීඩා නොබිදිනූ මැනවී
තනිව මා හඩනා වෙලාවේ සැලි සැලී සිහිනේ
වැටුනු මහ වරුසා මතක්වී - නුඹ රැදී දෑසේ
තවම මා නොදුටූ සිනා කැන් හමුනොවූ යාමේ
කදුල මට කරුණා කරන්නැයි අයැදිමී නිබදේ","[{'metaphor': None, 'interpretation': None}]"
Sonduru Atheethaye – සොඳුරු අතීතයේ,T.M.Jayarathna,Malani Jayarathna,Rohana Weerasingha,Old Pops,"සොඳුරු අතීතයේ නිමල පැතුම වී
මගෙ හද තුල ඔබ ඉන්න ඇති...
ඒ හින්දා යලි සෙනෙහෙ සිතින් අපි
ආදරයෙන් හමුවෙන්න ඇති…//
කඳුළු සුසුම් මැද සතුටු සිනා මැද
භවය පුරා ලඟ ඉන්න ඇති..
එදත් මගේ සිත අද මෙන් කැපවී
ඔබේ නමට පුද දෙන්න ඇති
නොසැලී නොතැවී බාධක හමුවේ
ආ හින්දා ජය ගන්න ඇති...
ආත්ම ගණනේ පුරුදු ලෙසින් අපි
මේ අයුරින් හමුවෙන්න ඇති","[{'metaphor': None, 'interpretation': None}]"
Sovin Bara – සොවින් බර,T.M.Jayarathna,Hemasiri Halpita,Clarence Wijewardena,Old Pops,"සොවින් බර නුවන් විදාලා
තැවුල් පැවසුවා හඬාලා
යොවුන් ආදරේ අපේ
ගියේ ඇයි මෙසේ බිඳීලා…//
හදේ ජනිත වූ අමාවන්  සැබෑ ආදරේ අපේ
මුසාවන් නිසා අනුන්ගේ  බිඳීලා ගියා
අහංකාර වූ සිනාවෙන්  අපේ ආදරේ දවාලූ
ලොවේ චෝදනා නිසා  මැවේ වේදනා
සදාතනික වූ හැඟීමෙන්  මගේ ජීවිතේ පුරා
යාවුනා කියා සිතූ මුත්  ඔබේ ආදරේ
කඳුළින් කොපුල් තෙමාලූ  මගේ ආදරේ මකාලූ
ඔබේ චේතනා නිසා  සිතේ වේදනා","[{'metaphor': None, 'interpretation': None}]"
Sudu Muthu Rala Pela – සුදු මුතු රළ පෙළ,"Neela Wickramasinghe,T.M.Jayarathna",Kularathna Ariyawansa,Rohana Weerasingha,"Movie Songs,Duets","සුදු මුතු රළ පෙළ කිඳුරු කොදෙව්වේ
පාවඩ පලස එලා
සිඳුලඳ ගෙනදුන් මුතු කැකුලක් සේ
ඔබ මට තිලිණ වෙලා
යුගදිවි වැල්ලේ අඳුරු ඉස්සව්වේ
මුකුලිත සිතැඟි සලා
අරුණැල්ලක්සේ
අරුණැල්ලක්සේ  නුඹ මිණ පායා
සනහස ජනිත කළා
සැඩ රළ රැල්ලේ සැලෙන කැදැල්ලේ
රැඳුනෙමි සරණ සොයා
පවනැල්ලක්සේ
පවනැල්ලක්සේ නොම හැර ආවෙමි
ඔබ හද සැදෙන තුරා","[{'metaphor': None, 'interpretation': None}]"
Wala Theerayen – වළා තීරයෙන්,T.M.Jayarathna,Ajantha Ranasinghe,Premasiri Khemadasa,"Old Pops,Classics","වළා තීරයෙන් එහා  කොහේද ලෝකයක්
සොයා ඇදෙන් පැතුම් බිඟුන්
අපේම ලෝකයක්… අපේම ලෝකයක්
තරංඟයක් ලෙසින් අදී
බිදී නොයන් සිතින්..
වසන්තයක් ලෙසින් උදාව
එන්න ජීවිතෙන්...
සිහිල් සහන් සුසුන් සරින්
පවන් රොදක් ලෙසින්...
නැවුම් පැතුම් අරන් වඩින්න
පෙම් උයන් දොරින්..","[{'metaphor': None, 'interpretation': None}]"
